customer_id,name,email,signup_date,country
114,Julie Jones,michelleramsey@example.com,2026-07-29,Spain
191,Joanna Frazier,david89@example.org,2025-12-22,Bulgaria
83,Christopher Jones,ortizhannah@example.com,2024-07-18,Djibouti
99,Reginald Williams,zthornton@example.com,2024-10-30,Panama
35,Taylor Mathis Jr.,ccalderon@example.org,2024-09-02,Bulgaria
88,Michael Valencia,keyemily@example.com,2025-05-26,Serbia
CUST_155,,umitchell@example.net,2026-07-25,Netherlands
116,Samantha Bentley,leonardthomas@example.net,2026-04-29,Monaco
160,Katie Fernandez,stanleynancy@example.net,2024-01-24,Honduras
179,Jonathan Glass MD,acostachristian@example.net,2026-08-28,Cocos (Keeling) Islands
88,Michael Valencia,keyemily@example.com,2025-05-26,Serbia
2,Amanda Davis,williamjohnson@example.org,2025-10-26,Reunion
111,Heather Fields,erica21@example.net,2025-08-11,Georgia
71,Laura Barnett,,2024-04-22,South Georgia and the South Sandwich Islands
33,Aimee Montoya,sarah12@example.com,2024-01-07,Botswana
141,James Greene,harrissierra@example.org,2025-12-18,French Guiana
27,Edward Novak,,2025-02-06,Uruguay
134,Brian Romero,dianewalker@example.org,2024-09-20,Moldova
49,Nancy Hopkins,zachary95@example.org,2026-02-15,Sao Tome and Principe
195,Gail Bradshaw,bryananthony@example.org,2026-07-08,Sierra Leone
158,Yolanda Gaines,lucasrodney@example.com,2023-09-22,Georgia
77,Elizabeth Ward,alexis82@example.com,2023-10-22,Austria
109,Dr. Ashley James MD,,2024-11-09,Algeria
41,Janet Williams,dwalker@example.com,2024-08-02,South Africa
40,Tim Patton,vpham@example.org,2024-06-21,Solomon Islands
29,Todd Hudson,,2025-05-14,Germany
13,Martin Rodriguez,amoore@example.net,2026-04-19,Estonia
24,,williamsyvette@example.org,2026-07-31,Vanuatu
127,Richard Camacho,stephen00@example.com,2026-03-19,Japan
131,Nicholas Edwards,elizabeth52@example.net,2026-06-10,Bangladesh
144,Jared Bowman,darius05@example.org,,Niger
162,Lisa Goodwin,pyoung@example.com,2026-07-27,Slovenia
197,Tyler Webb,eevans@example.net,2023-11-07,Kazakhstan
176,Ricardo Ellis,james30@example.com,2026-06-21,Malaysia
110,Melissa Garner,lozanojulie@example.com,2025-12-31,Denmark
145,Michael Cox,prichard@example.com,2025-06-09,Malta
40,Tim Patton,vpham@example.org,2024-06-21,Solomon Islands
64,Lisa Allen,kcaldwell@example.org,2025-01-24,Equatorial Guinea
36,Deborah Figueroa,,2026-07-04,Portugal
24,,williamsyvette@example.org,2026-07-31,Vanuatu
37,Kimberly Davenport,russellwilliams@example.com,2026-05-15,South Africa
56,,patricia12@example.org,2024-05-13,Puerto Rico
102,Wayne Morgan,vsantos@example.net,2026-04-01,Hong Kong
128,Katherine Browning,lammarc@example.org,2023-11-13,Falkland Islands (Malvinas)
153,Steven Cooper,wagnergerald@example.org,2025-10-17,Kazakhstan
157,Michael Miller,vschneider@example.org,2025-09-06,Switzerland
146,Seth Reese,masonjackson@example.net,2025-07-28,Marshall Islands
55,Joanna Walton,katie87@example.net,2024-05-22,Kazakhstan
17,Betty Alvarez,josephbrennan@example.com,2026-07-25,Vanuatu
175,Robin Thompson,epollard@example.net,2024-03-20,Burkina Faso
103,Lori Clay,cbrennan@example.net,2023-11-16,Norfolk Island
81,Lisa Rowe,chayes@example.com,2026-04-02,Japan
9,,jason76@example.net,2025-01-17,Estonia
190,Zachary Higgins,,2024-01-18,Ghana
15,Phillip Ryan,georgetracy@example.org,2026-06-17,Turkey
84,Douglas Heath,mcdanielsandra@example.net,2025-06-10,Spain
57,Daniel Perry,amy60@example.org,2026-03-03,Iceland
143,Heather Sanders,grahamsteve@example.org,2026-04-04,Morocco
70,Patricia Marshall,marcus31@example.com,2026-04-26,Ecuador
185,Cody Holmes,greenjorge@example.com,2024-04-25,New Zealand
119,Natalie Bautista,umatthews@example.org,2026-04-30,Palau
180,Erica Miller,kirk96@example.org,2025-13-40,Guernsey
63,Joshua Cooke,,2026-07-09,Cook Islands
137,Kylie Morales,joycebonilla@example.org,2025-11-28,Cuba
44,Kyle Reed,samuel81@example.com,2026-05-15,Comoros
182,Jose Brady,stephaniethomas@example.net,2025-09-15,Kazakhstan
156,Felicia Aguilar,sabrinacollins@example.net,2025-10-07,India
19,George Chapman,briannasmith@example.net,2025-07-25,Denmark
166,Jeffrey Potts,lisawilkerson@example.org,2024-11-30,Indonesia
69,Sandra Zimmerman,hthompson@example.net,2024-06-25,Sri Lanka
172,Chelsea Barnett,carlos88@example.net,2026-01-11,Madagascar
54,Jessica Briggs,jrivas@example.com,2026-05-13,Samoa
91,Robin Pierce,qmiller@example.com,2024-01-08,Sierra Leone
95,Brittany Cantu,william46@example.com,2026-08-12,Ecuador
42,Courtney Keller,emurphy@example.com,2024-09-21,Malawi
94,Michelle Collins,tranchristopher@example.org,2025-01-20,British Indian Ocean Territory (Chagos Archipelago)
163,Russell Richardson,smurray@example.com,2025-03-07,Italy
117,Leonard Holland,tblankenship@example.net,2024-11-23,Burundi
72,Douglas Carlson,angela83@example.org,2024-05-24,Ireland
CUST_98,Juan Daniels,mcantu@example.net,2024-05-21,Hungary
26,Mrs. Rachel Gibson,uhorton@example.net,2025-08-28,Libyan Arab Jamahiriya
60,,ncalhoun@example.net,2023-10-02,India
109,Dr. Ashley James MD,,2024-11-09,Algeria
75,Michael Nelson,jerry35@example.org,2025-11-25,Zambia
59,Sara Medina,tracynelson@example.com,2023-10-04,Guadeloupe
170,Eric Williams,nfowler@example.com,2023-11-10,Taiwan
87,Katherine Miller,prestonjessica@example.net,2024-06-03,Bermuda
18,Monica Harris,raymond57@example.net,2025-01-09,Egypt
181,Nicholas Buck,yhill@example.org,2023-11-24,Northern Mariana Islands
50,Eric Drake,andrewsanchez@example.com,2025-07-03,Seychelles
148,Mary Thompson,kmarshall@example.net,2025-01-07,Uzbekistan
93,Mr. Anthony Adams Jr.,samuel71@example.org,2026-08-04,New Caledonia
159,Daniel Meza,ilee@example.org,2023-11-26,Tanzania
161,Christopher Schwartz,jenniferwilliams@example.com,2025-09-13,Dominica
76,Cathy Robinson,lhill@example.net,2025-06-18,Bolivia
142,Adam Burgess,davidpatel@example.org,2025-03-04,Syrian Arab Republic
21,Laura Sanchez,maguirre@example.org,2023-12-18,Jersey
97,Samantha Campbell,mary97@example.org,2025-01-04,Liberia
32,Sherry Wood,samueldaniels@example.com,2025-07-04,Sri Lanka
138,Jesse Moore,jennifer99@example.org,2026-04-28,Cape Verde
118,Andrew Ferrell,davispaige@example.org,2024-11-01,Heard Island and McDonald Islands
187,Rita Ponce DVM,jenna88@example.com,2026-05-06,Thailand
12,Kyle Mcdonald,tasha01@example.net,2026-04-29,Sao Tome and Principe
196,Marilyn Wang,bmontgomery@example.com,2026-05-04,Mayotte
68,Mary Jones,alexander67@example.org,2024-12-21,Guyana
